Año,Trimestre,Provincia,Accesos/100 hab,Latitud,Longitud
2022,4,San Luis,"25,83","-33,3018","-66,3378"
2022,4,Santa Cruz,"12,95","-48,7834","-69,9335"
2022,4,Santa Fe,"24,65","-31,6333","-60,7000"
2022,4,Santiago Del Estero,"11,92","-27,7834","-64,2642"
2022,4,Tierra Del Fuego,"30,07","-54,8019","-68,3029"
2022,4,Tucumán,"15,12","-26,8241","-65,2226"
2022,3,Buenos Aires,"26,37","-36,6769","-60,5588"
2022,3,Capital Federal,"50,22","-34,6037","-58,3816"
2022,3,Catamarca,"16,62","-28,4696","-65,7795"
2022,3,Chaco,"11,72","-27,4515","-58,9864"
2022,3,Chubut,"25,86","-43,3002","-65,1023"
2022,3,Córdoba,"27,04","-31,4201","-64,1888"
2022,3,Corrientes,"12,69","-27,4806","-58,8341"
2022,3,Entre Ríos,"19,04","-32,0718","-60,5238"
2022,3,Formosa,"11,14","-26,1728","-58,1825"
2022,3,Jujuy,"15,06","-24,1945","-65,2971"
2022,3,La Pampa,"31,82","-37,7429","-64,2856"
2022,3,La Rioja,"21,47","-29,4135","-66,8565"
2022,3,Mendoza,"14,24","-34,5890","-68,3480"
2022,3,Misiones,"14,11","-27,3644","-55,9000"
2022,3,Neuquén,"23,92","-38,9516","-68,0591"
2022,3,Río Negro,"20,91","-40,8135","-67,9665"
2022,3,Salta,"13,99","-24,7821","-65,4232"
2022,3,San Juan,"12,94","-31,5275","-68,5386"
2022,3,San Luis,"23,39","-33,3018","-66,3378"
2022,3,Santa Cruz,"12,85","-48,7834","-69,9335"
2022,3,Santa Fe,"24,70","-31,6333","-60,7000"
2022,3,Santiago Del Estero,"11,91","-27,7834","-64,2642"
2022,3,Tierra Del Fuego,"29,50","-54,8019","-68,3029"
2022,3,Tucumán,"15,14","-26,8241","-65,2226"
2022,2,Buenos Aires,"26,13","-36,6769","-60,5588"
2022,2,Capital Federal,"49,87","-34,6037","-58,3816"
2022,2,Catamarca,"15,87","-28,4696","-65,7795"
2022,2,Chaco,"11,70","-27,4515","-58,9864"
2022,2,Chubut,"25,50","-43,3002","-65,1023"
2022,2,Córdoba,"26,78","-31,4201","-64,1888"
2022,2,Corrientes,"12,73","-27,4806","-58,8341"
2022,2,Entre Ríos,"19,10","-32,0718","-60,5238"
2022,2,Formosa,"11,05","-26,1728","-58,1825"
2022,2,Jujuy,"14,66","-24,1945","-65,2971"
2022,2,La Pampa,"30,63","-37,7429","-64,2856"
2022,2,La Rioja,"21,33","-29,4135","-66,8565"
2022,2,Mendoza,"13,78","-34,5890","-68,3480"
2022,2,Misiones,"13,89","-27,3644","-55,9000"
2022,2,Neuquén,"23,82","-38,9516","-68,0591"
2022,2,Río Negro,"20,87","-40,8135","-67,9665"
2022,2,Salta,"13,94","-24,7821","-65,4232"
2022,2,San Juan,"12,60","-31,5275","-68,5386"
2022,2,San Luis,"23,40","-33,3018","-66,3378"
2022,2,Santa Cruz,"12,84","-48,7834","-69,9335"
2022,2,Santa Fe,"24,50","-31,6333","-60,7000"
2022,2,Santiago Del Estero,"11,84","-27,7834","-64,2642"
2022,2,Tierra Del Fuego,"29,60","-54,8019","-68,3029"
2022,2,Tucumán,"14,69","-26,8241","-65,2226"
2022,1,Buenos Aires,"25,56","-36,6769","-60,5588"
2022,1,Capital Federal,"46,01","-34,6037","-58,3816"
2022,1,Catamarca,"14,81","-28,4696","-65,7795"
2022,1,Chaco,"11,78","-27,4515","-58,9864"
2022,1,Chubut,"26,99","-43,3002","-65,1023"
2022,1,Córdoba,"26,26","-31,4201","-64,1888"
2022,1,Corrientes,"12,55","-27,4806","-58,8341"
2022,1,Entre Ríos,"19,05","-32,0718","-60,5238"
2022,1,Formosa,"8,90","-26,1728","-58,1825"
2022,1,Jujuy,"14,85","-24,1945","-65,2971"
2022,1,La Pampa,"30,20","-37,7429","-64,2856"
2022,1,La Rioja,"20,97","-29,4135","-66,8565"
2022,1,Mendoza,"13,60","-34,5890","-68,3480"
2022,1,Misiones,"13,36","-27,3644","-55,9000"
2022,1,Neuquén,"22,08","-38,9516","-68,0591"
2022,1,Río Negro,"20,62","-40,8135","-67,9665"
2022,1,Salta,"13,59","-24,7821","-65,4232"
2022,1,San Juan,"11,09","-31,5275","-68,5386"
2022,1,San Luis,"23,10","-33,3018","-66,3378"
2022,1,Santa Cruz,"12,89","-48,7834","-69,9335"
2022,1,Santa Fe,"24,31","-31,6333","-60,7000"
2022,1,Santiago Del Estero,"11,71","-27,7834","-64,2642"
2022,1,Tierra Del Fuego,"29,14","-54,8019","-68,3029"
2022,1,Tucumán,"14,22","-26,8241","-65,2226"
2021,4,Buenos Aires,"25,36","-36,6769","-60,5588"
2021,4,Capital Federal,"45,85","-34,6037","-58,3816"
2021,4,Catamarca,"14,05","-28,4696","-65,7795"
2021,4,Chaco,"11,77","-27,4515","-58,9864"
2021,4,Chubut,"25,31","-43,3002","-65,1023"
2021,4,Córdoba,"25,87","-31,4201","-64,1888"
2021,4,Corrientes,"11,98","-27,4806","-58,8341"
2021,4,Entre Ríos,"18,88","-32,0718","-60,5238"
2021,4,Formosa,"8,77","-26,1728","-58,1825"
2021,4,Jujuy,"14,56","-24,1945","-65,2971"
2021,4,La Pampa,"29,51","-37,7429","-64,2856"
2021,4,La Rioja,"20,74","-29,4135","-66,8565"
2021,4,Mendoza,"13,26","-34,5890","-68,3480"
2021,4,Misiones,"13,36","-27,3644","-55,9000"
2021,4,Neuquén,"21,82","-38,9516","-68,0591"
2021,4,Río Negro,"20,21","-40,8135","-67,9665"
2021,4,Salta,"13,76","-24,7821","-65,4232"
2021,4,San Juan,"10,08","-31,5275","-68,5386"
