Año,Trimestre,Provincia,Accesos por cada 100 hogares,Latitud,Longitud
2022,4,Misiones,"52,85","-27,3644","-55,9000"
2022,4,Neuquén,"78,67","-38,9516","-68,0591"
2022,4,Río Negro,"68,42","-40,8135","-67,9665"
2022,4,Salta,"57,96","-24,7821","-65,4232"
2022,4,San Juan,"50,88","-31,5275","-68,5386"
2022,4,San Luis,"90,27","-33,3018","-66,3378"
2022,4,Santa Cruz,"43,53","-48,7834","-69,9335"
2022,4,Santa Fe,"78,40","-31,6333","-60,7000"
2022,4,Santiago Del Estero,"48,05","-27,7834","-64,2642"
2022,4,Tierra Del Fuego,"101,44","-54,8019","-68,3029"
2022,4,Tucumán,"61,04","-26,8241","-65,2226"
2022,3,Buenos Aires,"78,11","-36,6769","-60,5588"
2022,3,Capital Federal,"122,28","-34,6037","-58,3816"
2022,3,Catamarca,"65,33","-28,4696","-65,7795"
2022,3,Chaco,"43,86","-27,4515","-58,9864"
2022,3,Chubut,"84,38","-43,3002","-65,1023"
2022,3,Córdoba,"88,31","-31,4201","-64,1888"
2022,3,Corrientes,"48,21","-27,4806","-58,8341"
2022,3,Entre Ríos,"63,67","-32,0718","-60,5238"
2022,3,Formosa,"43,76","-26,1728","-58,1825"
2022,3,Jujuy,"58,91","-24,1945","-65,2971"
2022,3,La Pampa,"96,59","-37,7429","-64,2856"
2022,3,La Rioja,"80,66","-29,4135","-66,8565"
2022,3,Mendoza,"51,03","-34,5890","-68,3480"
2022,3,Misiones,"51,82","-27,3644","-55,9000"
2022,3,Neuquén,"80,37","-38,9516","-68,0591"
2022,3,Río Negro,"67,98","-40,8135","-67,9665"
2022,3,Salta,"57,76","-24,7821","-65,4232"
2022,3,San Juan,"50,80","-31,5275","-68,5386"
2022,3,San Luis,"81,74","-33,3018","-66,3378"
2022,3,Santa Cruz,"43,19","-48,7834","-69,9335"
2022,3,Santa Fe,"78,55","-31,6333","-60,7000"
2022,3,Santiago Del Estero,"47,98","-27,7834","-64,2642"
2022,3,Tierra Del Fuego,"99,51","-54,8019","-68,3029"
2022,3,Tucumán,"61,14","-26,8241","-65,2226"
2022,2,Buenos Aires,"77,58","-36,6769","-60,5588"
2022,2,Capital Federal,"121,31","-34,6037","-58,3816"
2022,2,Catamarca,"62,40","-28,4696","-65,7795"
2022,2,Chaco,"43,79","-27,4515","-58,9864"
2022,2,Chubut,"83,19","-43,3002","-65,1023"
2022,2,Córdoba,"87,48","-31,4201","-64,1888"
2022,2,Corrientes,"48,35","-27,4806","-58,8341"
2022,2,Entre Ríos,"63,90","-32,0718","-60,5238"
2022,2,Formosa,"43,42","-26,1728","-58,1825"
2022,2,Jujuy,"57,32","-24,1945","-65,2971"
2022,2,La Pampa,"92,98","-37,7429","-64,2856"
2022,2,La Rioja,"80,14","-29,4135","-66,8565"
2022,2,Mendoza,"49,39","-34,5890","-68,3480"
2022,2,Misiones,"51,00","-27,3644","-55,9000"
2022,2,Neuquén,"80,02","-38,9516","-68,0591"
2022,2,Río Negro,"67,85","-40,8135","-67,9665"
2022,2,Salta,"57,54","-24,7821","-65,4232"
2022,2,San Juan,"49,46","-31,5275","-68,5386"
2022,2,San Luis,"81,76","-33,3018","-66,3378"
2022,2,Santa Cruz,"43,15","-48,7834","-69,9335"
2022,2,Santa Fe,"77,90","-31,6333","-60,7000"
2022,2,Santiago Del Estero,"47,70","-27,7834","-64,2642"
2022,2,Tierra Del Fuego,"99,86","-54,8019","-68,3029"
2022,2,Tucumán,"59,31","-26,8241","-65,2226"
2022,1,Buenos Aires,"76,08","-36,6769","-60,5588"
2022,1,Capital Federal,"111,80","-34,6037","-58,3816"
2022,1,Catamarca,"58,21","-28,4696","-65,7795"
2022,1,Chaco,"44,06","-27,4515","-58,9864"
2022,1,Chubut,"88,05","-43,3002","-65,1023"
2022,1,Córdoba,"85,76","-31,4201","-64,1888"
2022,1,Corrientes,"47,64","-27,4806","-58,8341"
2022,1,Entre Ríos,"63,70","-32,0718","-60,5238"
2022,1,Formosa,"34,96","-26,1728","-58,1825"
2022,1,Jujuy,"58,06","-24,1945","-65,2971"
2022,1,La Pampa,"91,66","-37,7429","-64,2856"
2022,1,La Rioja,"78,77","-29,4135","-66,8565"
2022,1,Mendoza,"48,74","-34,5890","-68,3480"
2022,1,Misiones,"49,04","-27,3644","-55,9000"
2022,1,Neuquén,"74,17","-38,9516","-68,0591"
2022,1,Río Negro,"67,04","-40,8135","-67,9665"
2022,1,Salta,"56,11","-24,7821","-65,4232"
2022,1,San Juan,"43,55","-31,5275","-68,5386"
2022,1,San Luis,"80,72","-33,3018","-66,3378"
2022,1,Santa Cruz,"43,34","-48,7834","-69,9335"
2022,1,Santa Fe,"77,30","-31,6333","-60,7000"
2022,1,Santiago Del Estero,"47,17","-27,7834","-64,2642"
2022,1,Tierra Del Fuego,"98,29","-54,8019","-68,3029"
2022,1,Tucumán,"57,39","-26,8241","-65,2226"
2021,4,Buenos Aires,"75,66","-36,6769","-60,5588"
