Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra optica,Wireless,Otros,Total,ADSL meta,Cablemodem meta,Fibra optica meta,Wireless meta,Otros meta,Total meta,Tecnologia Predominante
2018,1,Buenos Aires,1452061,1793884,133928,64379,31194,3475446,1265995,1752373,133804,61283,32076,3245533,Cablemodem
2018,2,Buenos Aires,1450203,1807868,143626,71256,27746,3500699,1481102,1829761,136606,65666,31817,3544954,Cablemodem
2018,3,Buenos Aires,1435856,1929273,156382,62318,26448,3610277,1479207,1844025,146498,72681,28300,3570712,Cablemodem
2018,4,Buenos Aires,1305576,1949637,296102,65477,19814,3636606,1464573,1967858,159509,63564,26976,3682482,Cablemodem
2019,1,Buenos Aires,1304507,2020730,336362,64867,20201,3746667,1331687,1988629,302024,66786,20210,3709338,Cablemodem
2019,2,Buenos Aires,1284658,2079900,382971,75240,32929,3855698,1330597,2061144,343089,66164,20605,3821600,Cablemodem
2019,3,Buenos Aires,1277249,2144956,425386,85572,27070,3960233,1310351,2121498,390630,76744,33587,3932811,Cablemodem
2019,4,Buenos Aires,720011,2191672,669194,87111,18266,3686254,1302793,2187855,433893,87283,27611,4039437,Cablemodem
2020,1,Buenos Aires,673237,2210349,720688,85443,18334,3708051,734411,2235505,682577,88853,18631,3759979,Cablemodem
2020,2,Buenos Aires,661272,2244277,723072,91736,57189,3777546,686701,2254555,735101,87151,18700,3782212,Cablemodem
2020,3,Buenos Aires,653930,2384557,749087,94162,55541,3937277,674497,2289162,737533,93570,58332,3853096,Cablemodem
2020,4,Buenos Aires,635651,2441248,804991,93444,57927,4033261,667008,2432248,764068,96045,56651,4016022,Cablemodem
2021,1,Buenos Aires,629679,2452056,821597,98806,57864,4060002,648364,2490072,821090,95312,59085,4113926,Cablemodem
2021,2,Buenos Aires,603255,2503830,854173,113546,57547,4132351,642272,2501097,838028,100782,59021,4141202,Cablemodem
2021,3,Buenos Aires,585729,2595485,885613,120228,64554,4251609,615320,2553906,871256,115816,58697,4214998,Cablemodem
2021,4,Buenos Aires,426325,2706506,1176024,126887,73415,4509157,597443,2647394,903325,122632,65845,4336641,Cablemodem
2022,1,Buenos Aires,392045,2728865,1242121,125521,66872,4555424,434851,2760636,1199544,129424,74883,4599340,Cablemodem
2022,2,Buenos Aires,350652,2719613,1399043,126847,71028,4667183,399885,2783442,1266963,128031,68209,4646532,Cablemodem
2022,3,Buenos Aires,339648,2748325,1436433,126846,70416,4721668,357665,2774005,1427023,129383,72448,4760526,Cablemodem
2022,4,Buenos Aires,325908,2767247,1499149,129910,72451,4794665,346440,2803291,1465161,129382,71824,4816101,Cablemodem
2023,1,Buenos Aires,304583,2761043,1551074,132458,71770,4820928,332426,2822591,1529131,132508,73900,4890558,Cablemodem
2023,2,Buenos Aires,265537,2766463,1645945,138405,69138,4885488,310674,2816263,1582095,135107,73205,4917346,Cablemodem
2023,3,Buenos Aires,237705,2784175,1740239,137921,68197,4968237,270847,2821792,1678863,141173,70520,4983197,Cablemodem
2023,4,Buenos Aires,223391,2797700,1784593,137993,67943,5011620,242459,2839858,1775043,140679,69560,5067601,Cablemodem
2024,2,Buenos Aires,214055,2722466,1849476,138638,64745,4989380,227858,2853654,1820284,140752,69301,5111852,Cablemodem
2014,1,Capital Federal,445569,820161,17767,1866,14555,1299918,0,0,0,0,0,0,Cablemodem
2014,2,Capital Federal,447637,828411,17729,1883,14555,1310215,454480,836564,18122,1903,14846,1325916,Cablemodem
2014,3,Capital Federal,450155,833402,17886,1995,14387,1317825,456589,844979,18083,1920,14846,1336419,Cablemodem
2014,4,Capital Federal,455785,840224,17155,1962,15394,1330520,459158,850070,18243,2034,14674,1344181,Cablemodem
2015,1,Capital Federal,454934,841743,19334,1994,14716,1332721,464900,857028,17498,2001,15701,1357130,Cablemodem
2015,2,Capital Federal,453178,858342,19786,2172,12806,1346284,464032,858577,19720,2033,15010,1359375,Cablemodem
2015,3,Capital Federal,454815,871262,30974,2229,12788,1372068,462241,875508,20181,2215,13062,1373209,Cablemodem
2015,4,Capital Federal,455427,879950,19818,2273,12758,1370226,463911,888687,31593,2273,13043,1399509,Cablemodem
2016,1,Capital Federal,454425,832126,36332,2284,12729,1337896,464535,897549,20214,2318,13013,1397630,Cablemodem
2016,2,Capital Federal,450644,892209,36669,2390,12672,1394584,463513,848768,37058,2329,12983,1364653,Cablemodem
2016,3,Capital Federal,447726,905105,36796,2514,10963,1403104,459656,910053,37402,2437,12925,1422475,Cablemodem
2016,4,Capital Federal,434835,914952,38161,2583,10928,1401459,456680,923207,37531,2564,11182,1431166,Cablemodem
2017,1,Capital Federal,428801,918328,38259,2730,10928,1399046,443531,933251,38924,2634,11146,1429488,Cablemodem
2017,2,Capital Federal,615262,932466,38628,2819,11016,1600191,437377,936694,39024,2784,11146,1427026,Cablemodem
2017,3,Capital Federal,583249,941092,33481,2814,9723,1570359,627567,951115,39400,2875,11236,1632194,Cablemodem
2017,4,Capital Federal,571363,961688,36277,3119,9877,1582324,594913,959913,34150,2870,9917,1601766,Cablemodem
2018,1,Capital Federal,349995,968483,35535,3164,9393,1366570,582790,980921,37002,3181,10074,1613970,Cablemodem
2018,2,Capital Federal,342431,977916,35610,3908,9321,1369186,356994,987852,36245,3227,9580,1393901,Cablemodem
2018,3,Capital Federal,334353,1009252,35694,3872,9319,1392490,349279,997474,36322,3986,9507,1396569,Cablemodem
2018,4,Capital Federal,328253,1019490,33042,3978,4257,1389020,341040,1029437,36407,3949,9505,1420339,Cablemodem
2019,1,Capital Federal,328246,1030814,32281,3978,4281,1399600,334818,1039879,33702,4057,4342,1416800,Cablemodem
2019,2,Capital Federal,309937,1061358,36082,3962,4281,1415620,334810,1051430,32926,4057,4366,1427592,Cablemodem
2019,3,Capital Federal,300288,1080973,24900,3895,31155,1441211,316135,1082585,36803,4041,4366,1443932,Cablemodem
2019,4,Capital Federal,196938,1093143,35534,3914,28576,1358105,306293,1102592,25398,3972,31778,1470035,Cablemodem
2020,1,Capital Federal,184494,1097635,38898,3911,28556,1353494,200876,1115005,36244,3992,29147,1385267,Cablemodem
2020,2,Capital Federal,178896,1106133,39482,3937,29373,1357821,188183,1119587,39675,3989,29127,1380563,Cablemodem
2020,3,Capital Federal,170375,1129573,39417,3936,29374,1372675,182473,1128255,40271,4015,29960,1384977,Cablemodem
2020,4,Capital Federal,163060,1142528,39890,4815,29237,1379530,173782,1152164,40205,4014,29961,1400128,Cablemodem
2021,1,Capital Federal,159805,1145093,39980,5559,29236,1379673,166321,1165378,40687,4911,29821,1407120,Cablemodem
2021,2,Capital Federal,148989,1175097,41318,5580,29371,1400355,163001,1167994,40779,5670,29820,1407266,Cablemodem
2021,3,Capital Federal,142902,1192107,42966,6059,29371,1413405,151968,1198598,42144,5691,29958,1428362,Cablemodem
2021,4,Capital Federal,111360,1205128,60005,5679,29947,1412119,145760,1215949,43825,6180,29958,1441673,Cablemodem
2022,1,Capital Federal,102290,1217225,62308,5784,29934,1417541,113587,1229230,61205,5792,30545,1440361,Cablemodem
2022,2,Capital Federal,145491,1232226,121506,5757,31791,1536771,104335,1241569,63554,5899,30532,1445891,Cablemodem
2022,3,Capital Federal,140791,1240125,129218,5758,31787,1547679,148400,1256870,123936,5872,32426,1567506,Cablemodem
2022,4,Capital Federal,138753,1238196,138548,4603,31826,1551926,143606,1264927,131802,5873,32422,1578632,Cablemodem
2023,1,Capital Federal,132149,1223930,156222,4605,31823,1548729,141528,1262959,141318,4695,32462,1582964,Cablemodem
2023,2,Capital Federal,68348,1218631,136295,4504,29900,1457678,134791,1248408,159346,4697,32459,1579703,Cablemodem
2023,3,Capital Federal,60765,1205339,167428,4629,29823,1467984,69714,1243003,139020,4594,30498,1486831,Cablemodem
2023,4,Capital Federal,58700,1198835,182520,4492,29820,1474367,61980,1229445,170776,4721,30419,1497343,Cablemodem
2024,1,Capital Federal,70108,1177475,203756,4493,48879,1504711,59874,1222811,186170,4581,30416,1503854,Cablemodem
