Año,Trimestre,Provincia,Mbps,Latitud,Longitud,Meta Mbps
2018,4,Corrientes,"12,14","-27,4806","-58,8341","11,72"
2019,1,Corrientes,"12,05","-27,4806","-58,8341","12,38"
2019,2,Corrientes,"13,83","-27,4806","-58,8341","12,29"
2019,3,Corrientes,"16,70","-27,4806","-58,8341","14,11"
2019,4,Corrientes,"19,26","-27,4806","-58,8341","17,03"
2020,1,Corrientes,"20,54","-27,4806","-58,8341","19,64"
2020,2,Corrientes,"22,15","-27,4806","-58,8341","20,95"
2020,3,Corrientes,"23,85","-27,4806","-58,8341","22,59"
2020,4,Corrientes,"25,45","-27,4806","-58,8341","24,33"
2021,1,Corrientes,"25,99","-27,4806","-58,8341","25,96"
2021,2,Corrientes,"30,37","-27,4806","-58,8341","26,50"
2021,3,Corrientes,"32,17","-27,4806","-58,8341","30,98"
2021,4,Corrientes,"35,77","-27,4806","-58,8341","32,81"
2022,1,Corrientes,"38,11","-27,4806","-58,8341","36,49"
2022,2,Corrientes,"43,31","-27,4806","-58,8341","38,87"
2022,3,Corrientes,"45,07","-27,4806","-58,8341","44,18"
2022,4,Corrientes,"94,72","-27,4806","-58,8341","45,97"
2023,1,Corrientes,"94,80","-27,4806","-58,8341","96,61"
2023,2,Corrientes,"97,21","-27,4806","-58,8341","96,70"
2023,3,Corrientes,"99,64","-27,4806","-58,8341","99,15"
2023,4,Corrientes,"100,90","-27,4806","-58,8341","101,63"
2024,1,Corrientes,"102,49","-27,4806","-58,8341","102,92"
2024,2,Corrientes,"104,26","-27,4806","-58,8341","104,54"
2014,1,Córdoba,"3,39","-31,4201","-64,1888","0,00"
2014,2,Córdoba,"3,56","-31,4201","-64,1888","3,46"
2014,3,Córdoba,"3,66","-31,4201","-64,1888","3,63"
2014,4,Córdoba,"4,09","-31,4201","-64,1888","3,73"
2015,1,Córdoba,"4,30","-31,4201","-64,1888","4,17"
2015,2,Córdoba,"4,56","-31,4201","-64,1888","4,39"
2015,3,Córdoba,"4,87","-31,4201","-64,1888","4,65"
2015,4,Córdoba,"5,07","-31,4201","-64,1888","4,97"
2016,1,Córdoba,"5,16","-31,4201","-64,1888","5,17"
2016,2,Córdoba,"5,52","-31,4201","-64,1888","5,26"
2016,3,Córdoba,"6,07","-31,4201","-64,1888","5,63"
2016,4,Córdoba,"6,47","-31,4201","-64,1888","6,19"
2017,1,Córdoba,"6,80","-31,4201","-64,1888","6,60"
2017,2,Córdoba,"7,42","-31,4201","-64,1888","6,94"
2017,3,Córdoba,"9,12","-31,4201","-64,1888","7,57"
2017,4,Córdoba,"11,64","-31,4201","-64,1888","9,30"
2018,1,Córdoba,"12,79","-31,4201","-64,1888","11,87"
2018,2,Córdoba,"13,88","-31,4201","-64,1888","13,05"
2018,3,Córdoba,"14,82","-31,4201","-64,1888","14,15"
2018,4,Córdoba,"15,81","-31,4201","-64,1888","15,11"
2019,1,Córdoba,"15,73","-31,4201","-64,1888","16,13"
2019,2,Córdoba,"18,43","-31,4201","-64,1888","16,05"
2019,3,Córdoba,"23,19","-31,4201","-64,1888","18,80"
