Año,Trimestre,Provincia,Accesos/100 hogares,Latitud,Longitud,Accesos hogares trimestre anterior,Accesos hogares meta
2018,1,Córdoba,"63,52","-31,4201","-64,1888","63,33","64,60"
2018,2,Córdoba,"63,27","-31,4201","-64,1888","63,52","64,79"
2018,3,Córdoba,"64,24","-31,4201","-64,1888","63,27","64,54"
2018,4,Córdoba,"65,09","-31,4201","-64,1888","64,24","65,53"
2019,1,Córdoba,"65,52","-31,4201","-64,1888","65,09","66,39"
2019,2,Córdoba,"68,07","-31,4201","-64,1888","65,52","66,83"
2019,3,Córdoba,"68,59","-31,4201","-64,1888","68,07","69,43"
2019,4,Córdoba,"70,48","-31,4201","-64,1888","68,59","69,96"
2020,1,Córdoba,"70,69","-31,4201","-64,1888","70,48","71,89"
2020,2,Córdoba,"72,71","-31,4201","-64,1888","70,69","72,10"
2020,3,Córdoba,"75,22","-31,4201","-64,1888","72,71","74,17"
2020,4,Córdoba,"78,08","-31,4201","-64,1888","75,22","76,72"
2021,1,Córdoba,"78,59","-31,4201","-64,1888","78,08","79,64"
2021,2,Córdoba,"80,12","-31,4201","-64,1888","78,59","80,16"
2021,3,Córdoba,"81,28","-31,4201","-64,1888","80,12","81,72"
2021,4,Córdoba,"84,51","-31,4201","-64,1888","81,28","82,91"
2022,1,Córdoba,"85,76","-31,4201","-64,1888","84,51","86,20"
2022,2,Córdoba,"87,48","-31,4201","-64,1888","85,76","87,47"
2022,3,Córdoba,"88,31","-31,4201","-64,1888","87,48","89,23"
2022,4,Córdoba,"89,03","-31,4201","-64,1888","88,31","90,08"
2023,1,Córdoba,"88,84","-31,4201","-64,1888","89,03","90,81"
2023,2,Córdoba,"90,13","-31,4201","-64,1888","88,84","90,62"
2023,3,Córdoba,"90,05","-31,4201","-64,1888","90,13","91,93"
2023,4,Córdoba,"90,67","-31,4201","-64,1888","90,05","91,85"
2024,1,Córdoba,"90,70","-31,4201","-64,1888","90,67","92,48"
2024,2,Córdoba,"90,79","-31,4201","-64,1888","90,70","92,51"
2014,1,Entre Ríos,"34,37","-32,0718","-60,5238","0,00","0,00"
2014,2,Entre Ríos,"34,69","-32,0718","-60,5238","34,37","35,05"
2014,3,Entre Ríos,"34,98","-32,0718","-60,5238","34,69","35,38"
2014,4,Entre Ríos,"36,03","-32,0718","-60,5238","34,98","35,68"
2015,1,Entre Ríos,"42,07","-32,0718","-60,5238","36,03","36,75"
2015,2,Entre Ríos,"42,93","-32,0718","-60,5238","42,07","42,91"
2015,3,Entre Ríos,"43,68","-32,0718","-60,5238","42,93","43,79"
2015,4,Entre Ríos,"44,11","-32,0718","-60,5238","43,68","44,55"
2016,1,Entre Ríos,"43,85","-32,0718","-60,5238","44,11","44,99"
2016,2,Entre Ríos,"44,74","-32,0718","-60,5238","43,85","44,72"
2016,3,Entre Ríos,"45,44","-32,0718","-60,5238","44,74","45,63"
2016,4,Entre Ríos,"45,21","-32,0718","-60,5238","45,44","46,34"
2017,1,Entre Ríos,"44,91","-32,0718","-60,5238","45,21","46,11"
2017,2,Entre Ríos,"45,39","-32,0718","-60,5238","44,91","45,81"
2017,3,Entre Ríos,"45,96","-32,0718","-60,5238","45,39","46,30"
2017,4,Entre Ríos,"47,89","-32,0718","-60,5238","45,96","46,88"
2018,1,Entre Ríos,"48,68","-32,0718","-60,5238","47,89","48,84"
2018,2,Entre Ríos,"49,20","-32,0718","-60,5238","48,68","49,65"
2018,3,Entre Ríos,"50,22","-32,0718","-60,5238","49,20","50,19"
2018,4,Entre Ríos,"54,37","-32,0718","-60,5238","50,22","51,23"
2019,1,Entre Ríos,"56,79","-32,0718","-60,5238","54,37","55,46"
2019,2,Entre Ríos,"57,48","-32,0718","-60,5238","56,79","57,92"
2019,3,Entre Ríos,"57,90","-32,0718","-60,5238","57,48","58,63"
2019,4,Entre Ríos,"57,99","-32,0718","-60,5238","57,90","59,06"
2020,1,Entre Ríos,"56,12","-32,0718","-60,5238","57,99","59,15"
2020,2,Entre Ríos,"56,54","-32,0718","-60,5238","56,12","57,24"
2020,3,Entre Ríos,"58,19","-32,0718","-60,5238","56,54","57,67"
2020,4,Entre Ríos,"59,47","-32,0718","-60,5238","58,19","59,35"
2021,1,Entre Ríos,"60,44","-32,0718","-60,5238","59,47","60,66"
2021,2,Entre Ríos,"61,66","-32,0718","-60,5238","60,44","61,65"
2021,3,Entre Ríos,"62,18","-32,0718","-60,5238","61,66","62,89"
2021,4,Entre Ríos,"63,16","-32,0718","-60,5238","62,18","63,42"
2022,1,Entre Ríos,"63,70","-32,0718","-60,5238","63,16","64,42"
2022,2,Entre Ríos,"63,90","-32,0718","-60,5238","63,70","64,97"
2022,3,Entre Ríos,"63,67","-32,0718","-60,5238","63,90","65,18"
2022,4,Entre Ríos,"64,01","-32,0718","-60,5238","63,67","64,94"
2023,1,Entre Ríos,"64,79","-32,0718","-60,5238","64,01","65,29"
2023,2,Entre Ríos,"64,43","-32,0718","-60,5238","64,79","66,09"
2023,3,Entre Ríos,"68,84","-32,0718","-60,5238","64,43","65,72"
2023,4,Entre Ríos,"69,94","-32,0718","-60,5238","68,84","70,22"
2024,1,Entre Ríos,"69,31","-32,0718","-60,5238","69,94","71,34"
2024,2,Entre Ríos,"68,64","-32,0718","-60,5238","69,31","70,70"
2014,1,Formosa,"17,42","-26,1728","-58,1825","0,00","0,00"
2014,2,Formosa,"17,54","-26,1728","-58,1825","17,42","17,77"
2014,3,Formosa,"17,77","-26,1728","-58,1825","17,54","17,89"
2014,4,Formosa,"17,96","-26,1728","-58,1825","17,77","18,13"
2015,1,Formosa,"18,12","-26,1728","-58,1825","17,96","18,32"
2015,2,Formosa,"18,36","-26,1728","-58,1825","18,12","18,49"
2015,3,Formosa,"18,84","-26,1728","-58,1825","18,36","18,73"
2015,4,Formosa,"19,07","-26,1728","-58,1825","18,84","19,21"
2016,1,Formosa,"19,04","-26,1728","-58,1825","19,07","19,45"
2016,2,Formosa,"19,37","-26,1728","-58,1825","19,04","19,42"
2016,3,Formosa,"18,64","-26,1728","-58,1825","19,37","19,76"
2016,4,Formosa,"19,85","-26,1728","-58,1825","18,64","19,01"
2017,1,Formosa,"19,84","-26,1728","-58,1825","19,85","20,25"
2017,2,Formosa,"19,97","-26,1728","-58,1825","19,84","20,24"
2017,3,Formosa,"21,35","-26,1728","-58,1825","19,97","20,36"
2017,4,Formosa,"21,27","-26,1728","-58,1825","21,35","21,78"
2018,1,Formosa,"21,40","-26,1728","-58,1825","21,27","21,70"
2018,2,Formosa,"29,43","-26,1728","-58,1825","21,40","21,83"
2018,3,Formosa,"29,58","-26,1728","-58,1825","29,43","30,02"
2018,4,Formosa,"29,74","-26,1728","-58,1825","29,58","30,17"
2019,1,Formosa,"29,68","-26,1728","-58,1825","29,74","30,33"
2019,2,Formosa,"30,42","-26,1728","-58,1825","29,68","30,27"
2019,3,Formosa,"30,11","-26,1728","-58,1825","30,42","31,03"
2019,4,Formosa,"30,47","-26,1728","-58,1825","30,11","30,71"
2020,1,Formosa,"30,23","-26,1728","-58,1825","30,47","31,08"
2020,2,Formosa,"31,14","-26,1728","-58,1825","30,23","30,83"
2020,3,Formosa,"31,91","-26,1728","-58,1825","31,14","31,76"
2020,4,Formosa,"32,49","-26,1728","-58,1825","31,91","32,54"
2021,1,Formosa,"32,73","-26,1728","-58,1825","32,49","33,14"
2021,2,Formosa,"33,23","-26,1728","-58,1825","32,73","33,39"
2021,3,Formosa,"33,96","-26,1728","-58,1825","33,23","33,89"
2021,4,Formosa,"34,45","-26,1728","-58,1825","33,96","34,64"
2022,1,Formosa,"34,96","-26,1728","-58,1825","34,45","35,14"
2022,2,Formosa,"43,42","-26,1728","-58,1825","34,96","35,65"
2022,3,Formosa,"43,76","-26,1728","-58,1825","43,42","44,29"
