Año,Trimestre,Provincia,Accesos/100 hab,Latitud,Longitud,Accesos poblacion trimestre anterior,Accesos poblacion meta
2021,2,Chubut,"22,16","-43,3002","-65,1023","21,15","21,57"
2021,3,Chubut,"24,74","-43,3002","-65,1023","22,16","22,60"
2021,4,Chubut,"25,31","-43,3002","-65,1023","24,74","25,23"
2022,1,Chubut,"26,99","-43,3002","-65,1023","25,31","25,82"
2022,2,Chubut,"25,50","-43,3002","-65,1023","26,99","27,53"
2022,3,Chubut,"25,86","-43,3002","-65,1023","25,50","26,01"
2022,4,Chubut,"26,23","-43,3002","-65,1023","25,86","26,38"
2023,1,Chubut,"26,32","-43,3002","-65,1023","26,23","26,75"
2023,2,Chubut,"25,28","-43,3002","-65,1023","26,32","26,85"
2023,3,Chubut,"25,82","-43,3002","-65,1023","25,28","25,79"
2023,4,Chubut,"26,04","-43,3002","-65,1023","25,82","26,34"
2024,1,Chubut,"26,02","-43,3002","-65,1023","26,04","26,56"
2024,2,Chubut,"26,46","-43,3002","-65,1023","26,02","26,54"
2014,1,Corrientes,"5,89","-27,4806","-58,8341","0,00","0,00"
2014,2,Corrientes,"5,95","-27,4806","-58,8341","5,89","6,01"
2014,3,Corrientes,"5,99","-27,4806","-58,8341","5,95","6,06"
2014,4,Corrientes,"6,17","-27,4806","-58,8341","5,99","6,11"
2015,1,Corrientes,"7,64","-27,4806","-58,8341","6,17","6,30"
2015,2,Corrientes,"7,79","-27,4806","-58,8341","7,64","7,80"
2015,3,Corrientes,"7,93","-27,4806","-58,8341","7,79","7,95"
2015,4,Corrientes,"7,95","-27,4806","-58,8341","7,93","8,08"
2016,1,Corrientes,"7,94","-27,4806","-58,8341","7,95","8,11"
2016,2,Corrientes,"8,05","-27,4806","-58,8341","7,94","8,10"
2016,3,Corrientes,"8,16","-27,4806","-58,8341","8,05","8,21"
2016,4,Corrientes,"8,12","-27,4806","-58,8341","8,16","8,32"
2017,1,Corrientes,"8,15","-27,4806","-58,8341","8,12","8,28"
2017,2,Corrientes,"8,27","-27,4806","-58,8341","8,15","8,31"
2017,3,Corrientes,"8,47","-27,4806","-58,8341","8,27","8,43"
2017,4,Corrientes,"8,56","-27,4806","-58,8341","8,47","8,64"
2018,1,Corrientes,"8,60","-27,4806","-58,8341","8,56","8,73"
2018,2,Corrientes,"8,90","-27,4806","-58,8341","8,60","8,77"
2018,3,Corrientes,"9,02","-27,4806","-58,8341","8,90","9,08"
2018,4,Corrientes,"9,10","-27,4806","-58,8341","9,02","9,20"
2019,1,Corrientes,"9,25","-27,4806","-58,8341","9,10","9,28"
2019,2,Corrientes,"10,05","-27,4806","-58,8341","9,25","9,44"
2019,3,Corrientes,"10,13","-27,4806","-58,8341","10,05","10,25"
2019,4,Corrientes,"10,21","-27,4806","-58,8341","10,13","10,34"
2020,1,Corrientes,"10,20","-27,4806","-58,8341","10,21","10,41"
2020,2,Corrientes,"10,61","-27,4806","-58,8341","10,20","10,40"
2020,3,Corrientes,"10,99","-27,4806","-58,8341","10,61","10,83"
2020,4,Corrientes,"11,17","-27,4806","-58,8341","10,99","11,21"
2021,1,Corrientes,"11,23","-27,4806","-58,8341","11,17","11,40"
2021,2,Corrientes,"11,47","-27,4806","-58,8341","11,23","11,46"
2021,3,Corrientes,"11,82","-27,4806","-58,8341","11,47","11,69"
2021,4,Corrientes,"11,98","-27,4806","-58,8341","11,82","12,06"
2022,1,Corrientes,"12,55","-27,4806","-58,8341","11,98","12,22"
2022,2,Corrientes,"12,73","-27,4806","-58,8341","12,55","12,80"
2022,3,Corrientes,"12,69","-27,4806","-58,8341","12,73","12,99"
2022,4,Corrientes,"13,60","-27,4806","-58,8341","12,69","12,94"
2023,1,Corrientes,"13,71","-27,4806","-58,8341","13,60","13,87"
2023,2,Corrientes,"13,79","-27,4806","-58,8341","13,71","13,98"
2023,3,Corrientes,"13,90","-27,4806","-58,8341","13,79","14,07"
2023,4,Corrientes,"13,84","-27,4806","-58,8341","13,90","14,18"
2024,1,Corrientes,"13,68","-27,4806","-58,8341","13,84","14,12"
2024,2,Corrientes,"13,53","-27,4806","-58,8341","13,68","13,95"
2014,1,Córdoba,"16,13","-31,4201","-64,1888","0,00","0,00"
2014,2,Córdoba,"16,37","-31,4201","-64,1888","16,13","16,45"
2014,3,Córdoba,"16,56","-31,4201","-64,1888","16,37","16,69"
2014,4,Córdoba,"16,66","-31,4201","-64,1888","16,56","16,89"
2015,1,Córdoba,"16,79","-31,4201","-64,1888","16,66","16,99"
2015,2,Córdoba,"17,11","-31,4201","-64,1888","16,79","17,13"
2015,3,Córdoba,"17,43","-31,4201","-64,1888","17,11","17,45"
2015,4,Córdoba,"17,47","-31,4201","-64,1888","17,43","17,78"
2016,1,Córdoba,"16,97","-31,4201","-64,1888","17,47","17,82"
2016,2,Córdoba,"17,62","-31,4201","-64,1888","16,97","17,31"
2016,3,Córdoba,"17,79","-31,4201","-64,1888","17,62","17,97"
2016,4,Córdoba,"17,57","-31,4201","-64,1888","17,79","18,14"
2017,1,Córdoba,"17,65","-31,4201","-64,1888","17,57","17,92"
2017,2,Córdoba,"18,06","-31,4201","-64,1888","17,65","18,01"
2017,3,Córdoba,"19,08","-31,4201","-64,1888","18,06","18,42"
2017,4,Córdoba,"19,39","-31,4201","-64,1888","19,08","19,46"
2018,1,Córdoba,"19,45","-31,4201","-64,1888","19,39","19,78"
2018,2,Córdoba,"19,37","-31,4201","-64,1888","19,45","19,84"
2018,3,Córdoba,"19,67","-31,4201","-64,1888","19,37","19,76"
2018,4,Córdoba,"19,93","-31,4201","-64,1888","19,67","20,06"
2019,1,Córdoba,"20,06","-31,4201","-64,1888","19,93","20,33"
2019,2,Córdoba,"20,84","-31,4201","-64,1888","20,06","20,46"
2019,3,Córdoba,"21,00","-31,4201","-64,1888","20,84","21,26"
2019,4,Córdoba,"21,58","-31,4201","-64,1888","21,00","21,42"
2020,1,Córdoba,"21,64","-31,4201","-64,1888","21,58","22,01"
2020,2,Córdoba,"22,26","-31,4201","-64,1888","21,64","22,08"
2020,3,Córdoba,"23,03","-31,4201","-64,1888","22,26","22,71"
2020,4,Córdoba,"23,90","-31,4201","-64,1888","23,03","23,49"
2021,1,Córdoba,"24,06","-31,4201","-64,1888","23,90","24,38"
2021,2,Córdoba,"24,53","-31,4201","-64,1888","24,06","24,54"
2021,3,Córdoba,"24,89","-31,4201","-64,1888","24,53","25,02"
2021,4,Córdoba,"25,87","-31,4201","-64,1888","24,89","25,38"
2022,1,Córdoba,"26,26","-31,4201","-64,1888","25,87","26,39"
2022,2,Córdoba,"26,78","-31,4201","-64,1888","26,26","26,78"
2022,3,Córdoba,"27,04","-31,4201","-64,1888","26,78","27,32"
